image,img_w,img_h,x,y,w,h,subset
6f3ce91797c1e7.jpg,852,852,119,127,589,376,train
3053e4c7923f91.jpg,3600,3600,1219,1107,443,268,train
57ac994a3e931d.jpg,3599,3599,1492,651,1568,1212,train
7d9b3735e73dda.jpg,3600,3600,1788,64,378,172,train
1ae5aec3ee7b2a.jpg,2302,2302,579,83,654,199,train
1cc489245c7ded.jpg,1024,1024,11,61,986,666,train
79073532fdb3cf.jpg,3599,3599,1278,907,942,734,train
6f65041e784fa4.jpg,3456,3456,1330,579,767,635,train
6542207eaf5d49.jpg,3109,3109,2295,295,729,259,train
67d4b796285df9.jpg,2352,2352,675,545,740,474,train
5c2957cbae2b27.jpg,1300,1300,21,66,1246,679,train
15c65f526e113c.jpg,3599,3599,1935,986,450,227,train
af106817efc0cf.jpg,3599,3599,1338,858,946,571,train
6d4db623d9e577.jpg,3456,3456,1009,678,491,363,train
8b7c2bf2e7e684.jpg,3600,3600,537,254,1009,916,train
4e8a74ce6c6319.jpg,3600,3600,1127,131,507,226,train
be26bd41337c9f.jpg,1943,1943,759,827,167,68,train
b2115d1479d5fc.jpg,3504,3504,1445,940,566,349,train
596f93b6862bfc.jpg,713,713,648,65,65,88,train
3dc7e7cc5dc1db.jpg,3599,3599,2481,295,575,237,train
3e3b0762ef10e6.jpg,2561,2561,1633,441,539,203,train
f4bb38bab5adec.jpg,3248,3248,468,785,445,199,train
5874183cdbc757.jpg,3504,3504,1354,693,251,217,train
26dad26bb67085.jpg,3504,3504,1429,730,563,433,train
3de2325e811c62.jpg,3599,3599,947,130,1735,1270,train
f88ba2fe4a5bad.jpg,3599,3599,1750,1049,229,133,train
5ee16e11d7b83a.jpg,3097,3097,2179,687,556,186,train
ac74549273102b.jpg,3599,3599,2587,366,410,171,train
8bcb362b834b34.jpg,3600,3600,1616,1321,321,202,train
d85f5f0efca7cf.jpg,3600,3600,621,0,579,206,train
d221abec9b080f.jpg,1761,1761,146,134,1330,960,train
2347297a8c16d8.jpg,3600,3600,1563,1088,306,108,train
c0ebbdd0b7c79e.jpg,3504,3504,1713,965,181,142,train
0e8986fc5591fe.jpg,1456,1456,423,148,525,356,train
64481cd7fa61fc.jpg,3504,3504,717,63,2055,1255,train
40d44ac65606dc.jpg,3599,3599,1559,993,899,215,train
dd7dea9f857edd.jpg,1267,1267,440,68,375,123,train
f946985ca5b7cd.jpg,949,949,218,85,326,151,train
110cab84d1cc19.jpg,3599,3599,2509,1526,334,118,train
73bb4243c8dbbd.jpg,3599,3599,1544,697,743,487,train
6c0f4f5b7c7574.jpg,1784,1784,1198,381,568,478,train
7b2cf908ba9509.jpg,949,949,38,48,892,531,train
32b1c4a0e303d2.jpg,3599,3599,992,1291,485,259,train
df920c0d6cb71f.jpg,3599,3599,1032,28,1174,495,train
90266e9deb4c8b.jpg,2510,2510,23,4,839,461,train
1a70df53490560.jpg,3599,3599,1331,1377,467,126,train
4c1c8ce4cf41c3.jpg,3600,3600,1643,520,780,618,train
695163ec598c54.jpg,786,786,399,50,260,97,train
e9c4b4bfc4ae21.jpg,1909,1909,1338,0,570,381,train
09c7c5a8fa52a4.jpg,3456,3456,996,402,890,661,train
bb36ec5ddd9913.jpg,2500,2500,1162,139,359,139,train
aab582e9b773b5.jpg,2240,2240,1049,555,385,144,train
7bb0884d0aa7fd.jpg,1260,1260,604,139,393,219,train
cd0dd0bbf3c3e2.jpg,3504,3504,1150,607,1061,758,train
853a4f9bb5b305.jpg,3456,3456,1335,220,1164,877,train
142bdb5ff2bfc7.jpg,3504,3504,860,762,1308,924,train
a903ccee544049.jpg,3504,3504,1484,920,295,243,train
73ca9da21b13b3.jpg,2821,2821,63,106,1016,726,train
46a95ad0789010.jpg,3504,3504,1181,323,1076,763,train
20e6ffa8d11bfe.jpg,3599,3599,1557,1340,249,193,train
988969029cb0e8.jpg,3600,3600,1630,808,425,400,train
cfbb822160f44d.jpg,3599,3599,1225,732,462,554,train
304e77dc0cfe81.jpg,582,582,0,2,582,590,train
69e22c4cc0d0a0.jpg,3600,3600,2012,1267,435,292,train
5121fd5ca822d8.jpg,3504,3504,1680,918,541,401,train
b22fc6aa085ce1.jpg,3600,3600,1190,62,1316,349,train
a11b178dae4414.jpg,1896,1896,548,0,215,91,train
bb24581d0da1d4.jpg,3599,3599,1731,854,480,312,train
da42e2b386e7c3.jpg,3072,3072,793,330,645,409,train
58a39a1ff1db62.jpg,3504,3504,1500,862,427,324,train
e43c60f7e97525.jpg,3599,3599,2702,147,436,143,train
71e5d29f720693.jpg,3599,3599,1367,906,361,148,train
961e03a889b475.jpg,3600,3600,1331,1144,875,453,train
6c3e21a73142d0.jpg,1461,1461,919,138,388,110,train
9ab19363aab6c4.jpg,3600,3600,363,409,531,245,train
933d852f1f6374.jpg,2028,2028,660,42,1356,1139,train
42a215e3229ed2.jpg,304,304,0,1,304,361,train
cf48387544e902.jpg,3504,3504,1324,691,1143,984,train
657b134d4331d7.jpg,1803,1803,975,74,508,132,train
680c918639c9f4.jpg,3504,3504,1540,726,909,741,train
0a66f7598686c3.jpg,3599,3599,1393,1012,225,88,train
21043e89a6b347.jpg,3456,3456,1566,724,597,387,train
dc13f919858776.jpg,3599,3599,1723,1179,185,178,train
534fee83724e03.jpg,3599,3599,884,461,1506,913,train
75a6624b1746a9.jpg,744,744,12,29,724,616,train
d2dd6e6967140b.jpg,3600,3600,435,7,536,225,train
d2156742728447.jpg,1966,1966,620,483,242,95,train
47d086bf382e04.jpg,3504,3504,1487,762,445,306,train
7ec6c9ce2b7d23.jpg,1832,1832,657,12,905,398,train
856746170a4280.jpg,3004,3004,759,75,484,223,train
9f3e0f8dab81e9.jpg,3600,3600,2007,1038,601,397,train
dc3c4185474da8.jpg,3599,3599,1389,1319,238,101,train
e8ab3760bfd4de.jpg,740,740,0,6,740,820,train
4bb7777d3648c5.jpg,2970,2970,2380,194,348,179,train
70c64242fa795d.jpg,3456,3456,1454,821,508,360,train
72316f127c80b6.jpg,3599,3599,1105,723,677,262,train
ef5c42d601335b.jpg,3504,3504,1258,850,785,554,train
246fa4f6a23ed2.jpg,888,888,238,65,103,61,train
7ea680f131134f.jpg,3600,3600,1976,206,498,230,train
3d7d1fb51936bb.jpg,3507,3507,395,265,1513,999,train
79cb6079757993.jpg,260,260,0,0,260,343,train
63c96be0e8bf06.jpg,1109,1109,77,113,943,570,train
4adb34c9f40561.jpg,3456,3456,1533,739,804,552,train
eb020bf4f25312.jpg,3073,3073,2030,526,363,259,train
8715be4f18ebfd.jpg,3600,3600,650,427,2120,1326,train
ccc0b770d4cf5c.jpg,3599,3599,1165,316,1094,752,train
e377beed17e12d.jpg,1358,1358,688,194,360,243,train
c0a9ea9ada0f4a.jpg,117,117,0,0,115,137,train
35646ee835c769.jpg,2369,2369,1279,29,675,239,train
e8973792980da7.jpg,964,964,17,69,932,584,train
c516ccc517a11d.jpg,3600,3600,1747,1196,587,493,train
e8cd13ce522e9e.jpg,3504,3504,1370,508,762,624,train
f44fae53058124.jpg,3456,3456,1509,834,482,333,train
1582d22994b8d2.jpg,3600,3600,2821,418,380,263,train
a7d9d902a836c2.jpg,3600,3600,1501,988,316,94,train
e894383fcfbecd.jpg,3599,3599,1342,1318,227,168,train
187b6f5662c768.jpg,2048,2048,1244,481,540,279,train
dd9eedeec5c7ca.jpg,3456,3456,1236,337,940,576,train
bbd50ef3ae853a.jpg,3456,3456,1095,625,901,567,train
1b80ee0a7a6958.jpg,1475,1475,615,58,146,69,train
3bb9b6b77ddbc7.jpg,544,544,253,50,97,54,train
765ffade75581d.jpg,1842,1842,773,22,327,126,train
87e8575ca3a0cc.jpg,1257,1257,6,85,1247,840,train
c633d6d52ea339.jpg,3599,3599,1379,186,576,245,train
cba6760ed2763d.jpg,3599,3599,1416,1235,449,409,train
4acfd6cb164dd7.jpg,1024,1024,14,34,1000,676,train
369191864c70cb.jpg,2257,2257,1219,5,1012,604,train
762c2a77a7c7cc.jpg,1870,1870,397,17,446,199,train
95ea40f31cbf47.jpg,627,627,8,106,558,299,train
93871a39d76980.jpg,3000,3000,137,1,2862,1429,train
c38d2a7910560a.jpg,1988,1988,518,34,338,167,train
6a5c923b3a83c6.jpg,1733,1733,149,142,1524,979,train
8a8633d0535279.jpg,3600,3600,2161,1088,478,217,train
8763a589853ccb.jpg,3504,3504,1441,636,880,766,train
bf00ae859e27fb.jpg,343,343,8,31,329,186,train
c1cd3272f82c6d.jpg,388,388,4,37,381,328,train
c0e2df51cceed4.jpg,3504,3504,483,1573,816,672,train
1775197c145cfe.jpg,3180,3180,1925,846,502,199,train
e1d08b6927c55e.jpg,779,779,46,33,430,297,train
0df4deb2fa12aa.jpg,1784,1784,0,0,258,126,train
904f4879cda0ca.jpg,955,955,316,287,136,90,train
e2293d8438b461.jpg,1248,1248,0,169,1002,582,train
867d1e4045497f.jpg,1819,1819,238,400,645,354,train
9daa94f29013ae.jpg,640,640,10,56,610,407,train
c7491be312ff10.jpg,3504,3504,1607,887,317,250,train
5c29e550a22f1b.jpg,1117,1117,225,23,504,323,train
1b1403449b3ba3.jpg,3599,3599,1503,1065,265,268,train
f911f3cfe7097d.jpg,3456,3456,1324,768,505,396,train
746ec9612c71d0.jpg,3504,3504,1028,334,1159,674,train
4ef67157db925b.jpg,3504,3504,1397,1041,605,401,train
e8931e20a2c690.jpg,3504,3504,1006,648,375,248,train
d43c0c52d1e7b6.jpg,3504,3504,1580,994,389,341,train
c4ecf886cee09f.jpg,1148,1148,802,18,344,208,train
c44a59703e225f.jpg,3600,3600,637,2,325,131,train
07e93049d3879f.jpg,2253,2253,694,23,232,103,train
2afc9011430b2a.jpg,3097,3097,1391,209,1018,476,train
6c535bea47d918.jpg,497,497,3,3,489,498,train
7bdaa4cab45ccd.jpg,3600,3600,1675,836,651,225,train
ead9965a353e57.jpg,3599,3599,3067,1145,332,146,train
